State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
Veterans Health,7352860,N/A,N/A,6636980,N/A,6633837,N/A,3252821,N/A,3251043,N/A,2895660,N/A,2894270,N/A,3190980,3563680,598200,0,237645,3379402,3019652,281,1421352,1247642,226655,11,1421292,1246353,226614,11,N/A,N/A,N/A,N/A,0,2687057,0,3252821,1616275,0,1481876,0,810005,597203,74667,1,3545945,0,0,3252708,0,2895586,0,1421330,1247597,226648,11,6636796,0,0,3252723,0,2895590,0,1421330,1247600,226649,11,6636815,0,0,705079,24.3,705072,24.4,666900,29.2,517671,34.9,344089,350844,10146,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,291260,N/A,N/A,263364,N/A,263362,N/A,132058,N/A,132056,N/A,126404,N/A,126403,N/A,149760,125400,16100,0,13357,110355,139621,31,48985,64454,12965,0,48985,64454,12964,0,N/A,N/A,N/A,N/A,0,114444,0,132058,3669,0,3571,0,1711,1672,188,0,8191,0,0,132056,0,126403,0,48985,64454,12964,0,263362,0,0,132056,0,126403,0,48985,64454,12964,0,263362,0,0,17279,13.7,17279,13.7,6161,21.8,1124,31.5,8776,8124,358,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dept of Defense,5864070,N/A,N/A,6650106,N/A,6298612,N/A,3668667,N/A,3469185,N/A,2800257,N/A,2657049,N/A,3682170,1973700,208200,0,297573,2239649,4091827,21057,885409,1650693,263983,172,885219,1507880,263778,172,N/A,N/A,N/A,N/A,0,2393985,0,3668667,304020,0,168638,0,58204,101840,8594,0,515023,0,0,3647183,0,2798743,0,885387,1649228,263956,172,6627106,0,0,3668531,0,2800197,0,885391,1650671,263963,172,6649922,0,0,876,0,872,0,72,0,20,0,240,626,10,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Puerto Rico,6056690,189645,231086,5487766,171831,5027600,191823,2733025,85.6,2466068,94.1,2379078,74.5,2187758,83.5,3572350,2275340,209000,0,141528,2154574,3191145,519,909946,1332975,136057,100,909529,1142280,135884,65,N/A,85.6,N/A,94.1,70.8,2070772,79,2733025,657589,96.8,577198,84.9,284332,269715,23137,14,1417864,208615,891141,2675616,93.9,2371196,83.2,909880,1325210,136006,100,5422576,190380,212643,2732308,88.8,2378884,77.3,909891,1332879,136014,100,5486893,178365,196888,458917,19.3,458388,21,328004,28.8,196143,34,173292,281564,4055,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vermont,1323590,212118,259536,1148504,184058,1060199,207889,538571,86.3,484335,95,460535,73.8,426435,83.6,716330,539260,68000,0,49487,455438,642704,875,170004,244975,45293,263,169953,211021,45215,246,N/A,86.3,N/A,95,68.8,395101,77.5,538571,138181,99.9,123977,99.2,59858,61456,2509,154,352741,282105,1058540,518362,94.1,456643,82.9,169992,241112,45276,263,1124119,204033,240238,538521,90.5,460525,77.4,170003,244971,45288,263,1148466,193037,222472,175813,38.2,175619,41.2,131191,54,83013,67,76254,96761,2784,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guam,267150,158556,233229,279125,165664,250153,218390,136957,81.3,120837,99.9,124151,73.7,111436,97.3,168070,77580,21500,0,11124,89992,177958,51,37809,76101,10238,3,37795,63406,10232,3,N/A,81.3,N/A,99.9,67.8,101606,88.7,136957,16868,99.9,15885,98.9,6509,8815,558,3,40694,253372,1663350,135307,99.9,124110,94.5,37808,76062,10237,3,277403,211248,203441,136949,89.6,124150,81.3,37808,76101,10238,3,279116,182714,174881,25119,20.2,25097,22.5,17104,38.7,8165,51.4,9123,15694,302,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Republic of Palau,34190,158787,206175,34912,162140,31811,191829,18537,86.1,16722,99.9,15873,73.7,14579,87.9,7290,23100,3800,0,2334,27416,5162,0,11772,1762,2339,0,11772,468,2339,0,N/A,86.1,N/A,99.9,63.4,12365,74.6,18537,1794,90.1,1720,86.3,1473,20,227,0,4139,207781,1716370,18074,96.9,15872,85.1,11772,1761,2339,0,34451,184773,183374,18537,91,15873,77.9,11772,1762,2339,0,34912,171364,167820,3129,19.7,3129,21.5,1974,35.1,907,52.7,3121,8,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rhode Island,2075515,195921,242788,1784095,168412,1650081,193022,891334,84.1,810149,94.8,778258,73.5,719712,84.2,1200775,788540,86200,0,59699,680326,1042852,1218,276192,445192,56580,294,276088,386777,56555,292,N/A,84.1,N/A,94.8,69.4,676668,79.2,891334,204051,99.9,181576,97.1,81989,92965,6515,107,482238,257818,1109630,867721,93.6,771146,83.1,276183,438091,56579,293,1755747,189301,223777,891278,88.7,778250,77.5,276188,445190,56579,293,1784032,177544,206552,219563,28.2,219312,30.5,167975,44.1,107216,59,97389,119664,2500,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maine,2700850,200924,246570,2280951,169687,2124654,193967,1111775,82.7,1018702,93,979923,72.9,918193,83.8,1475210,1081440,144200,0,132078,928668,1217944,2261,366427,487609,125417,470,366362,426060,125340,431,N/A,82.7,N/A,93,65.4,816957,74.6,1111775,313200,99.9,276274,96.8,125807,126233,24020,214,734871,257610,946786,1081063,91.2,974486,82.2,366419,482201,125396,470,2244556,189424,227932,1111671,86.8,979892,76.5,366420,487604,125398,470,2280836,178096,210893,301640,30.8,301486,32.8,242113,45,162526,58.8,138710,157312,5367,251,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,6925945,194261,244056,6140550,172232,5631477,198442,3029228,85,2738093,96.5,2595392,72.8,2383354,84,3938385,2669260,318300,0,227743,2307019,3604604,1184,908774,1467699,218490,429,908287,1256437,218308,322,N/A,85,N/A,96.5,67.8,2205838,77.7,3029228,700219,99.9,593770,94.2,233660,338288,21727,95,1628405,258377,1098930,2954431,95.1,2571282,82.8,908484,1443963,218409,426,6040272,194474,222990,3027965,89.5,2594958,76.7,908567,1467552,218411,428,6138875,181432,204693,696519,26.8,696130,29.2,536932,42.2,335754,56.5,319124,368990,8390,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
